OC_CODIGO,conceptUri,similarity
20105,http://data.europa.eu/esco/occupation/0b1d8dcb-d941-4d79-99bf-fc10c1806c43,0.14555100394116635
20110,http://data.europa.eu/esco/occupation/0b1d8dcb-d941-4d79-99bf-fc10c1806c43,0.17479545057054038
20115,http://data.europa.eu/esco/occupation/0b1d8dcb-d941-4d79-99bf-fc10c1806c43,0.17479545057054038
20205,http://data.europa.eu/esco/occupation/4b05bef2-ded4-4b09-ab94-f4c6a555a775,0.1280237029645041
20305,http://data.europa.eu/esco/occupation/853698f5-0f1e-42ae-9301-e5411a26dae2,0.21457430239316166
20310,http://data.europa.eu/esco/occupation/853698f5-0f1e-42ae-9301-e5411a26dae2,0.21457430239316166
21105,http://data.europa.eu/esco/occupation/2ae275fe-4f11-4a38-9e95-d466d74b42a3,0.3932375225918308
21110,http://data.europa.eu/esco/occupation/2ae275fe-4f11-4a38-9e95-d466d74b42a3,0.3932375225918308
21205,http://data.europa.eu/esco/occupation/49e4e358-8ba3-4a05-8ef9-abb73156f5f7,0.1444343487336802
21210,http://data.europa.eu/esco/occupation/49e4e358-8ba3-4a05-8ef9-abb73156f5f7,0.1444343487336802
30105,http://data.europa.eu/esco/occupation/ffade2f4-2528-4dfd-b36a-6e4092be08ed,0.2456104172104252
30110,http://data.europa.eu/esco/occupation/ffade2f4-2528-4dfd-b36a-6e4092be08ed,0.20013144071031894
30115,http://data.europa.eu/esco/occupation/ffade2f4-2528-4dfd-b36a-6e4092be08ed,0.20159760653001235
30205,http://data.europa.eu/esco/occupation/01a83071-6533-4675-b2da-f0c6d02669f5,0.21920499092435855
30305,http://data.europa.eu/esco/occupation/d8ed1703-9c03-4ea0-83cc-b6169bc54ffd,0.14748339934204469
31105,http://data.europa.eu/esco/occupation/90569478-805c-4d14-a1ba-e9c9c4ac2818,0.4228345817084351
31110,http://data.europa.eu/esco/occupation/90569478-805c-4d14-a1ba-e9c9c4ac2818,0.42423608116821054
31205,http://data.europa.eu/esco/occupation/90569478-805c-4d14-a1ba-e9c9c4ac2818,0.4384150128829919
31210,http://data.europa.eu/esco/occupation/90569478-805c-4d14-a1ba-e9c9c4ac2818,0.420312339617447
